epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0296,1.64564,3.55196,0.95978,0.43406,0.23767,0.22771,0.11838,1.84944,2.34138,0.97549,0.000249213,0.000249213,0.000249213
2,86.541,1.67064,2.27908,0.94876,0.43524,0.27266,0.27793,0.13144,1.85058,2.05958,1.0061,0.000505353,0.000505353,0.000505353
3,126.577,1.63598,1.67319,0.95478,0.51814,0.35146,0.30625,0.16352,1.71023,1.9939,0.98189,0.000760717,0.000760717,0.000760717
4,168.463,1.61725,1.44696,0.96579,0.43883,0.31017,0.31989,0.15531,1.77547,1.49659,0.98809,0.000766361,0.000766361,0.000766361
5,209.827,1.60843,1.37195,0.96541,0.49234,0.31605,0.30694,0.15298,1.75779,1.57865,0.98418,0.000764314,0.000764314,0.000764314
6,250.907,1.59662,1.3118,0.96159,0.47896,0.35519,0.34741,0.17499,1.72334,1.40935,0.98235,0.000761686,0.000761686,0.000761686
7,291.543,1.5722,1.25068,0.95879,0.54816,0.37091,0.37643,0.19458,1.69665,1.36645,0.98101,0.000758482,0.000758482,0.000758482
8,332.651,1.56173,1.2307,0.95472,0.5447,0.33228,0.35503,0.18931,1.71274,1.42135,0.98357,0.000754708,0.000754708,0.000754708
9,368.934,1.54568,1.2229,0.95722,0.52598,0.34863,0.38209,0.20186,1.71344,1.39866,0.98742,0.000750369,0.000750369,0.000750369
10,406.651,1.54562,1.16404,0.95498,0.53186,0.30684,0.32894,0.16937,1.72073,1.39843,1.00268,0.000745472,0.000745472,0.000745472
11,441.74,1.53446,1.19229,0.95835,0.55736,0.36796,0.39292,0.2078,1.65126,1.28691,0.97598,0.000740024,0.000740024,0.000740024
12,475.119,1.54186,1.18358,0.9548,0.57948,0.38537,0.40241,0.21368,1.68302,1.32958,0.97732,0.000734034,0.000734034,0.000734034
13,511.337,1.50966,1.16064,0.94616,0.62331,0.37347,0.41085,0.22421,1.67444,1.2739,0.97328,0.000727511,0.000727511,0.000727511
14,552.052,1.5086,1.13539,0.95201,0.5473,0.3614,0.39602,0.20239,1.7428,1.31055,0.99178,0.000720465,0.000720465,0.000720465
15,590.039,1.52927,1.13603,0.94484,0.55669,0.34443,0.37002,0.18701,1.73115,1.32673,0.98705,0.000712907,0.000712907,0.000712907
16,626.355,1.52367,1.08919,0.94571,0.60754,0.4293,0.44195,0.23426,1.67534,1.20987,0.98121,0.000704848,0.000704848,0.000704848
17,660.858,1.45612,1.07245,0.93973,0.60419,0.39555,0.43207,0.23244,1.63992,1.23419,0.98267,0.000696301,0.000696301,0.000696301
18,696.412,1.46349,1.07315,0.93559,0.65649,0.40373,0.46214,0.24491,1.65504,1.26866,0.96491,0.00068728,0.00068728,0.00068728
19,731.837,1.46951,1.06078,0.94553,0.57968,0.40335,0.41836,0.22821,1.66544,1.28579,0.97378,0.000677797,0.000677797,0.000677797
20,765.626,1.47073,1.06266,0.93784,0.62493,0.40094,0.44451,0.23923,1.63328,1.19351,0.96942,0.000667869,0.000667869,0.000667869
21,798.863,1.44745,1.02676,0.9393,0.59889,0.3943,0.41733,0.21701,1.65812,1.26551,0.96543,0.000657509,0.000657509,0.000657509
22,832.205,1.4478,1.02484,0.93181,0.55601,0.41044,0.41455,0.22013,1.61362,1.27155,0.97267,0.000646734,0.000646734,0.000646734
23,865.362,1.45218,1.04263,0.93558,0.57981,0.43408,0.43705,0.23825,1.61871,1.19784,0.97219,0.000635561,0.000635561,0.000635561
24,899.603,1.43368,1.00818,0.92755,0.60532,0.41452,0.44866,0.24854,1.61676,1.16757,0.96506,0.000624006,0.000624006,0.000624006
25,935.812,1.45116,1.00698,0.92972,0.60154,0.37783,0.412,0.22527,1.66488,1.23857,0.97628,0.000612088,0.000612088,0.000612088
26,972.826,1.46708,1.00776,0.92961,0.616,0.37533,0.41219,0.21954,1.67178,1.24936,0.97638,0.000599826,0.000599826,0.000599826
27,1007.12,1.4428,0.98469,0.92369,0.63838,0.43572,0.46149,0.25134,1.63587,1.18281,0.98284,0.000587237,0.000587237,0.000587237
28,1041.21,1.38765,0.94291,0.91864,0.65868,0.42981,0.46447,0.25464,1.64223,1.13926,0.97916,0.000574341,0.000574341,0.000574341
29,1074.51,1.41878,0.96802,0.92625,0.61647,0.38505,0.42385,0.22972,1.60689,1.17255,0.97261,0.000561159,0.000561159,0.000561159
30,1108.67,1.3968,0.95745,0.92943,0.60701,0.41679,0.44,0.23623,1.60655,1.16343,0.97023,0.00054771,0.00054771,0.00054771
31,1142.84,1.40525,0.95611,0.92793,0.61784,0.41843,0.43597,0.23516,1.67247,1.17736,0.97697,0.000534015,0.000534015,0.000534015
32,1179.27,1.44161,0.9608,0.92157,0.66783,0.4119,0.45704,0.2503,1.61783,1.11927,0.98386,0.000520096,0.000520096,0.000520096
33,1218.44,1.38083,0.9175,0.91535,0.6124,0.45086,0.45722,0.24678,1.61718,1.15567,0.97081,0.000505974,0.000505974,0.000505974
34,1257.26,1.41493,0.95521,0.92266,0.64179,0.40383,0.43778,0.24049,1.6418,1.19099,0.98146,0.00049167,0.00049167,0.00049167
35,1296.2,1.38187,0.9173,0.91814,0.58291,0.41994,0.45243,0.24164,1.61791,1.18425,0.97989,0.000477207,0.000477207,0.000477207
36,1335.32,1.37301,0.92867,0.91703,0.66019,0.42884,0.45943,0.24719,1.62402,1.15126,0.97795,0.000462607,0.000462607,0.000462607
37,1374.06,1.37444,0.9074,0.91852,0.66131,0.4068,0.45278,0.24065,1.62102,1.16068,0.97814,0.000447893,0.000447893,0.000447893
38,1412.36,1.35815,0.89216,0.91873,0.66606,0.3856,0.4342,0.23549,1.62471,1.17835,0.98235,0.000433086,0.000433086,0.000433086
39,1450.81,1.33952,0.86317,0.90938,0.62341,0.39369,0.42976,0.22548,1.68657,1.17167,0.98586,0.000418211,0.000418211,0.000418211
40,1485.5,1.3343,0.8729,0.91013,0.61925,0.42708,0.4472,0.24168,1.64739,1.1569,0.98044,0.000403289,0.000403289,0.000403289
41,1520.64,1.34279,0.88599,0.90931,0.61972,0.46512,0.46066,0.25456,1.58211,1.10115,0.96639,0.000388345,0.000388345,0.000388345
42,1554.29,1.32894,0.86148,0.90791,0.62186,0.41793,0.43733,0.23895,1.61249,1.15444,0.97432,0.000373401,0.000373401,0.000373401
43,1587.84,1.32451,0.86108,0.90983,0.61935,0.41048,0.43737,0.23583,1.61626,1.16768,0.97281,0.000358479,0.000358479,0.000358479
44,1621.14,1.32441,0.85505,0.90381,0.59674,0.42708,0.44349,0.24232,1.60668,1.13681,0.97932,0.000343604,0.000343604,0.000343604
45,1655.32,1.3039,0.83893,0.90195,0.69035,0.41483,0.46079,0.2526,1.59627,1.11904,0.9719,0.000328797,0.000328797,0.000328797
46,1688.01,1.3398,0.85527,0.90685,0.65809,0.43108,0.47098,0.25649,1.60298,1.09601,0.96798,0.000314083,0.000314083,0.000314083
47,1721.72,1.32762,0.83868,0.89821,0.65963,0.41537,0.45824,0.25648,1.58147,1.10246,0.96324,0.000299483,0.000299483,0.000299483
48,1755.55,1.32555,0.85658,0.90601,0.68996,0.40218,0.45034,0.24597,1.58694,1.10839,0.96732,0.00028502,0.00028502,0.00028502
49,1789.35,1.29465,0.82425,0.89996,0.61594,0.43403,0.4479,0.23955,1.61209,1.11177,0.97285,0.000270716,0.000270716,0.000270716
50,1823.01,1.28107,0.80944,0.90266,0.6568,0.38295,0.4275,0.23257,1.59043,1.12106,0.97004,0.000256594,0.000256594,0.000256594
51,1856.12,1.29343,0.81624,0.89825,0.60435,0.42853,0.44367,0.24366,1.56535,1.09236,0.96808,0.000242675,0.000242675,0.000242675
52,1890.3,1.29856,0.81619,0.90002,0.62026,0.4442,0.46388,0.25739,1.5776,1.08616,0.97195,0.00022898,0.00022898,0.00022898
53,1924.35,1.26826,0.80544,0.89561,0.63383,0.43285,0.4534,0.25061,1.58029,1.09297,0.97098,0.000215531,0.000215531,0.000215531
54,1958.09,1.24301,0.79322,0.89175,0.66184,0.43794,0.46588,0.2594,1.55874,1.07147,0.96902,0.000202349,0.000202349,0.000202349
55,1991.99,1.24745,0.78595,0.89937,0.64261,0.43387,0.46257,0.25814,1.57464,1.08091,0.97052,0.000189453,0.000189453,0.000189453
56,2026.56,1.27893,0.81103,0.89555,0.64818,0.43749,0.46039,0.25237,1.60162,1.07955,0.97371,0.000176864,0.000176864,0.000176864
57,2059.99,1.23388,0.78096,0.89279,0.70347,0.41955,0.47104,0.25782,1.58102,1.07352,0.97282,0.000164602,0.000164602,0.000164602
58,2094.24,1.28605,0.79205,0.8936,0.66899,0.46396,0.48705,0.26755,1.57389,1.0461,0.9746,0.000152684,0.000152684,0.000152684
59,2127.75,1.26069,0.7911,0.89234,0.65986,0.47405,0.4902,0.27791,1.54888,1.0393,0.96774,0.000141129,0.000141129,0.000141129
60,2171.63,1.23938,0.77323,0.89197,0.68668,0.44083,0.49221,0.27408,1.56264,1.04603,0.96787,0.000129956,0.000129956,0.000129956
61,2213.14,1.23018,0.77326,0.88924,0.67242,0.47242,0.49733,0.27682,1.55338,1.03475,0.96772,0.000119181,0.000119181,0.000119181
62,2252.16,1.24672,0.78593,0.88772,0.67178,0.45538,0.49421,0.27299,1.55824,1.04239,0.96645,0.000108821,0.000108821,0.000108821
63,2286.85,1.21747,0.75603,0.88934,0.68458,0.44214,0.47958,0.26413,1.56954,1.04208,0.96804,9.88927e-05,9.88927e-05,9.88927e-05
64,2321.64,1.22512,0.76924,0.89079,0.6293,0.47482,0.47998,0.26833,1.56195,1.04618,0.96666,8.94102e-05,8.94102e-05,8.94102e-05
65,2356.05,1.21672,0.75345,0.88827,0.69395,0.4456,0.48254,0.27079,1.57271,1.05981,0.96738,8.03886e-05,8.03886e-05,8.03886e-05
66,2389.32,1.25797,0.77922,0.88839,0.6642,0.46645,0.48889,0.27152,1.56268,1.05471,0.96547,7.18419e-05,7.18419e-05,7.18419e-05
67,2422.87,1.21851,0.75918,0.89045,0.65039,0.47279,0.48578,0.27004,1.55421,1.04688,0.96553,6.37833e-05,6.37833e-05,6.37833e-05
68,2455.26,1.21742,0.75161,0.88653,0.64485,0.48097,0.49047,0.27046,1.55604,1.03233,0.96654,5.6225e-05,5.6225e-05,5.6225e-05
69,2489.91,1.24007,0.76644,0.88716,0.65672,0.47384,0.4862,0.26947,1.55323,1.03698,0.96592,4.91789e-05,4.91789e-05,4.91789e-05
70,2523.58,1.22091,0.75181,0.88799,0.64235,0.4797,0.4799,0.26417,1.55566,1.04117,0.96643,4.26558e-05,4.26558e-05,4.26558e-05
71,2557.71,1.21641,0.74324,0.87385,0.62025,0.46469,0.47031,0.26151,1.5685,1.05964,0.96721,3.66656e-05,3.66656e-05,3.66656e-05
72,2591.48,1.20092,0.72458,0.87226,0.64049,0.44288,0.4687,0.26127,1.56523,1.06253,0.96757,3.12178e-05,3.12178e-05,3.12178e-05
73,2629.19,1.2152,0.73287,0.87586,0.67898,0.43074,0.46799,0.26053,1.55703,1.06538,0.96697,2.63206e-05,2.63206e-05,2.63206e-05
74,2668.5,1.17849,0.70791,0.86632,0.67468,0.42985,0.46867,0.26046,1.55818,1.05986,0.96673,2.19816e-05,2.19816e-05,2.19816e-05
75,2707.47,1.18839,0.71328,0.87643,0.67488,0.42797,0.4717,0.26294,1.5518,1.05612,0.96516,1.82075e-05,1.82075e-05,1.82075e-05
76,2746.18,1.18503,0.70218,0.87325,0.6686,0.43893,0.4732,0.26532,1.548,1.05025,0.96485,1.50042e-05,1.50042e-05,1.50042e-05
77,2786.45,1.16105,0.68905,0.86686,0.65839,0.44593,0.47045,0.26322,1.55331,1.05355,0.96511,1.23765e-05,1.23765e-05,1.23765e-05
78,2824.58,1.16664,0.70062,0.86186,0.64572,0.43875,0.47187,0.26432,1.55445,1.05225,0.96467,1.03285e-05,1.03285e-05,1.03285e-05
79,2865.26,1.16157,0.6933,0.86119,0.652,0.44402,0.47259,0.26538,1.55545,1.05078,0.96464,8.86343e-06,8.86343e-06,8.86343e-06
80,2904.38,1.16744,0.6914,0.86933,0.64563,0.44779,0.47455,0.26608,1.55089,1.04637,0.96502,7.98347e-06,7.98347e-06,7.98347e-06
